frame.time_delta,frame.time_relative,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,ip.proto,ip.ttl,tcp.flags,tcp.time_delta,tcp.len,tcp.ack,tcp.connection.fin,tcp.connection.rst,tcp.connection.synack,tcp.connection.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.urg,tcp.hdr_len,tcp.payload,tcp.pdu.size,tcp.window_size_value,tcp.checksum,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.val,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgtype,mqtt.qos,mqtt.retain,mqtt.topic,mqtt.topic_len,mqtt.ver,mqtt.willmsg_len
"0.000000000","0.000000000","98","192.168.43.223","192.168.43.244",,,"1","64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.003334000","0.003334000","98","192.168.43.244","192.168.43.223",,,"1","64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.998146000","1.001480000","98","192.168.43.223","192.168.43.244",,,"1","64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.003391000","1.004871000","98","192.168.43.244","192.168.43.223",,,"1","64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.021570000","1.026441000","66","192.168.43.223","34.107.221.82","41854","80","6","64","0x00000010","0.000000000","0","1",,,,,"1","0","0","0","0","0","32",,,"501","0x0000cef3",,,,,,,,,,,,,,,,,,,,,,
"0.976028000","2.002469000","98","192.168.43.223","192.168.43.244",,,"1","64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.003454000","2.005923000","98","192.168.43.244","192.168.43.223",,,"1","64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.044514000","2.050437000","66","192.168.43.223","34.107.221.82","41854","80","6","64","0x00000010","1.023996000","0","1",,,,,"1","0","0","0","0","0","32",,,"501","0x0000caf3",,,,,,,,,,,,,,,,,,,,,,
"0.953665000","3.004102000","98","192.168.43.223","192.168.43.244",,,"1","64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.003824000","3.007926000","1454","185.125.190.28","192.168.43.223","443","57200","6","45","0x00000010","0.000000000","1388","1",,,,,"1","0","0","0","0","0","32","99889d339d2ce75f156025938e75af5ee3555f795e59334fb8f964ddf6598d34eadf8fe51008e48f2a5431c767168c67cb8547550c8c8f1052d7a306928d3dd9b65fb27e18d218e997149cd1bb25509986bea1cd52b9dafa46701533024e4fb1032b090ede7fb0c4d3a9dfe3f10806f2dd56634823823fe75336e5c0e3ecc5347da93a9428e716c1a30a974892d218a3ff448ffe606511fcc1ac5c40ac861d6d2ba1515b72074ffac423cc195b0f9a8373483248b54aea75d5bb6276f58602c3d5b7e2c32a225d577aabf54ee4f98ec7ff61e0d60d814484a9ab2c4077679d4ca58925905f07ce499ef2932877853dc91d4c7c8c090bc463a04c09d188fb07e297b2f64acab1272fe946a25c0464bc07893e9df0a66d79ebb524ce15f91def2566cd42264393ced2849f00cf280e125443f04a6ace247a0cf372b28c836b6471d3ddca116407ab9a1d2f7dec3d918f37185425b5185474c3f3e8da67f1d8b56db10840da8899c7ad2664825fd00a5252da94ccc70dd9fec178b9d633b64c0afc7149488bd3191a33f08b6873f2cf2803aabebe820994f81cffc75769a3050093d34f990a4c58f17a485f9c7f13571c33011421297357277993d4208a0c0ba28585291bf03487828984de49bf90dcb1ebfbde7152d3780edbfc7d7bbca47a376702c5dff6bdd7c1a71b9c7ce322ada2633becce0dc175f9f3e46b5301bb97244660d100a23f2f164579d7d78cc85acdce283d0424be3b6ca001176416f29f90fb29b450a77bf236b212ad7fda7f16487eb12bd87dbadf515e5a62b5f7a514b2ea4552b9f115c0b1947aa0eef2034f259e2a8d4e55bbdb11a623b3d344c58c6f04b2919d1734a3db699b8f22aae634b3f6924e7e0d337a8c237d69f33c48705bdf211de5d5d1640b4d0821aad8304b50f40dc0a969a101a1c98e1eab2c9d39228ec5ba27f257abee1ad6637f2512b9c7b027aebd065b2c2bc7aed2e9df7fe759b525144395c2c1b3ac60789178d9f35ac28666c507682e5337d646c6c08bb44367333f81ab72ee031ceac9c2d5a210c9a30d65c884f4271832bae3e9213257f931425b5db774a5482080a9009649038d639eeece6d1535647b88e54751ca6d9da7513505216247199519e002768377f4e69f0be1fe675af9897191da8f1c1b40a02eabdb1f155921e8e033ce117d2a67da7117f2180ea1262f2f0536a640881f0fa97fc468652cb1e339c077a74bc154d4add5b0cec9720368908a33948d99d435a65d8d3c703fd15ff2ce54f77ce1623f92d27639d262b7cb2d76a35320365f7fbeb05dffc5baf917792342620a2fbd15380e43a6ea73f8f6e32d3e1748f9032aa28e1d81c4013119fa11f3364b1f41ba51b23524a26a727901c9d85c4c58f4e3e5d9bc5a0ec99fd42f741d8df2e474e24d160faadfa3415612bcad6df9b6af7e4abfb0bb8975f02d9a581161b8f31753d1f74616862e7eb7645774694af2dc1a2b2c6d0822cd7f32a124db29b14ffcbceceb24d147fa66fde59d4049949cb1ca7604ca8e8a4937a7c5fa59807c4bade4d433bbc29162048c64460c2238bb91aed47b72178a435a8acfc04aff08d09aa1e5a3a6647a02273a336c227e003600ac6c2dd40569a9f1e954274b2d48f74eafb76d5d4edb5e5640ad417553dd05bbf8c2086db608d25d4a2e0bcb20a5d8c874208d527ced6cec7825c4dec3f68fb5b94215356a8100dcd07904cfa45a23a2bcb19e2bb111b832dd3eb095f5fd33b69aa217ff294e4de2682834e7635345f90774636b018e749215f352079fa4d11c14056f0c3a0d3f7dc0baa9b01718a83a5e5a9ca57523f0069a66fa5364a3ca7ca8f50a30097f49176948098d48407f66c7db779de0449cab587fe55a6a4ebef1092bec4f450377ac9cb2bda1559700555591726bc8f1e9d23fa4d0611a0d4ec16eb47e28c8efc6129b559fcfd1",,"501","0x00008036",,,,,,,,,,,,,,,,,,,,,,
